交易
平仓时间 (UTC+8),交易品种,开仓方向,建仓价,平仓价格,平仓量,净盈利 HKD,余额 HKD
09 7 月 2026 09:21:29.429,JPN225,买入,67999.3,68197.3,0.2 手,190.98,23 765.09
09 7 月 2026 09:21:29.220,JPN225,买入,68019.3,68199.8,0.2 手,174.10,23 574.11
09 7 月 2026 09:12:19.286,JPN225,买入,68059.3,68289.8,0.1 手,111.19,23 400.01
09 7 月 2026 09:12:04.611,JPN225,买入,68069.3,68297.3,0.1 手,109.98,23 288.82
09 7 月 2026 09:12:04.546,JPN225,买入,67994.3,68289.8,0.2 手,285.08,23 178.84
09 7 月 2026 09:12:04.543,JPN225,买入,68031.8,68289.8,0.2 手,248.90,22 893.76
09 7 月 2026 09:12:04.528,JPN225,买入,68059.3,68289.8,0.1 手,111.19,22 644.86
09 7 月 2026 09:12:04.524,JPN225,买入,68019.3,68289.8,0.2 手,260.96,22 533.67
09 7 月 2026 09:12:03.988,JPN225,买入,68031.8,68292.3,0.2 手,251.31,22 272.71
09 7 月 2026 09:12:03.930,JPN225,买入,68059.3,68292.3,0.1 手,112.39,22 021.40
09 7 月 2026 09:12:03.918,JPN225,买入,68019.3,68292.3,0.2 手,263.37,21 909.01
09 7 月 2026 09:11:40.964,JPN225,买入,68039.3,68304.8,0.2 手,256.16,21 645.64
09 7 月 2026 09:10:08.816,JPN225,买入,68014.3,68314.8,0.2 手,289.95,21 389.48
09 7 月 2026 09:10:07.066,JPN225,买入,68064.3,68324.8,0.2 手,251.35,21 099.53
09 7 月 2026 09:00:33.216,JPN225,卖出,67849.8,68019.3,0.1 手,-81.78,20 848.18
09 7 月 2026 09:00:22.167,JPN225,卖出,67849.8,68011.8,0.1 手,-78.16,20 929.96
09 7 月 2026 09:00:22.165,JPN225,卖出,67849.8,68011.8,0.1 手,-78.16,21 008.12
09 7 月 2026 09:00:22.004,JPN225,卖出,67847.3,68014.3,0.1 手,-80.58,21 086.28
09 7 月 2026 09:00:20.127,JPN225,卖出,67849.8,68009.3,0.1 手,-76.96,21 166.86
09 7 月 2026 08:57:36.491,JPN225,买入,67984.3,67849.8,0.1 手,-64.90,21 243.82
09 7 月 2026 08:57:36.467,JPN225,买入,67944.3,67849.8,0.1 手,-45.60,21 308.72
08 7 月 2026 22:53:48.982,US500,卖出,7446.9,7454.3,0.2 手,-11.60,21 354.32
08 7 月 2026 22:53:48.565,US500,卖出,7446.9,7453.5,0.2 手,-10.35,21 365.92
08 7 月 2026 22:43:22.023,US500,卖出,7448.1,7449.3,0.2 手,-1.88,21 376.27
08 7 月 2026 22:43:22.005,US500,卖出,7448.0,7449.3,0.2 手,-2.04,21 378.15
08 7 月 2026 22:27:03.645,HK50,买入,24047.7,24009.2,1 手,-38.50,21 380.19
08 7 月 2026 22:27:03.639,HK50,买入,24044.0,24009.2,1 手,-34.80,21 418.69
08 7 月 2026 22:26:49.215,US500,买入,7469.0,7464.4,1 手,-36.07,21 453.49
08 7 月 2026 22:26:49.092,US500,买入,7469.9,7464.6,1 手,-41.55,21 489.56
08 7 月 2026 22:24:05.330,US500,买入,7465.5,7467.4,0.2 手,2.98,21 531.11
08 7 月 2026 22:24:05.327,US500,买入,7463.7,7467.4,1 手,29.01,21 528.13
08 7 月 2026 22:24:05.325,US500,买入,7462.0,7467.4,1 手,42.34,21 499.12
08 7 月 2026 22:24:05.317,HK50,买入,23951.0,24008.2,1 手,57.20,21 456.78
