"方向","代碼","名稱","訂單價格","訂單數量","訂單金額","交易狀態","已成交@均價","下單時間","類型","期限","盤前競價","時段","觸發價","允許開倉","市場","幣種","訂單來源","成交數量","成交價格","成交金額","成交時間","市場","幣種","對手經紀","備註","佣金","平台使用費","交收費","印花稅","交易費","證監會徵費","財匯局徵費","綜合審計跟蹤監管費","交易活動費","證監會規費","合計費用"
"賣出","06745","濱化股份","2.67","1,000","2,670.00","全部成交","1,000@2.67","2026/07/09 17:31:52 (香港)","富途暗盤","當日有效","","","","","港股","HKD","","1,000","2.67","2,670.00","2026/07/09 17:31:58 (香港)","港股","HKD","4580","","3","15","0.11","3","0.15","0.07","0","","","","21.33"
"賣出","06745","濱化股份","觸及市價","1,000","0.00","已撤單","0@0.00","2026/07/09 16:30:18 (香港)","富途暗盤","當日有效","","","2.46","","港股","HKD","","","","","","","","","","","","","","","","","","","",""
"買入","06880","MOMENTA-W","303.80","40","12,152.00","下單失敗","0@0.00","2026/07/08 10:19:46 (香港)","限價單","當日有效","允許","","","","港股","HKD","","","","","","","","","","","","","","","","","","","",""
"買入","06880","MOMENTA-W","301.60","40","12,064.00","下單失敗","0@0.00","2026/07/08 10:18:57 (香港)","限價單","當日有效","允許","","","","港股","HKD","","","","","","","","","","","","","","","","","","","",""
"買入","06880","MOMENTA-W","301.00","40","12,040.00","下單失敗","0@0.00","2026/07/08 10:18:04 (香港)","限價單","當日有效","允許","","","","港股","HKD","","","","","","","","","","","","","","","","","","","",""
"賣出","07709","南方兩倍做多海力士","市價","200","21,400.00","全部成交","200@107.00","2026/07/06 09:47:17 (香港)","止損市價單","撤單前有效","","","107.00","","港股","HKD","","200","107.00","21,400.00","2026/07/06 10:12:30 (香港)","港股","HKD","2204","","0","15","0.9","0","1.21","0.58","0.03","","","","17.72"
"買入","07709","南方兩倍做多海力士","116.45","200","23,290.00","全部成交","200@116.25","2026/07/06 09:41:08 (香港)","限價單","當日有效","允許","","","","港股","HKD","","200","116.25","23,250.00","2026/07/06 09:41:08 (香港)","港股","HKD","8532","","0","15","0.98","0","1.31","0.63","0.03","","","","17.95"
"賣出","MU","美光科技","1002.80","2","2,005.60","全部成交","2@1003.10","2026/07/02 11:36:33 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","1003.50","不允許","美股","USD","","2","1003.10","2,006.20","2026/07/02 11:43:41 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.04","2.05"
"買入","MU","美光科技","1009.14","2","2,018.28","全部成交","2@1009.14","2026/07/02 11:35:31 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","1009.14","2,018.28","2026/07/02 11:35:33 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","GSAT","全球星","80.46","2","160.92","全部成交","2@80.46","2026/07/02 11:02:05 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","80.46","160.92","2026/07/02 11:02:09 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.01","2.02"
"賣出","MU","美光科技","1015.00","2","2,030.00","全部成交","2@1016.0593","2026/07/02 04:29:46 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","1016.00","不允許","美股","USD","","2","1016.0593","2,032.12","2026/07/02 05:05:26 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.04","2.05"
"買入","MU","美光科技","1002.57","2","2,005.14","全部成交","2@1002.57","2026/07/02 04:26:57 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","1002.57","2,005.14","2026/07/02 04:27:00 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","NBIS","NEBIUS","285.99","3","857.97","全部成交","3@285.99","2026/06/30 10:18:19 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","286.00","不允許","美股","USD","","3","285.99","857.97","2026/06/30 10:56:13 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.02","2.03"
"賣出","TD","多倫多道明銀行","118.00","2","236.00","全部成交","2@118.9805","2026/06/30 09:52:06 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","119.00","不允許","美股","USD","","2","118.9805","237.96","2026/07/02 13:03:42 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.01","2.02"
"買入","TD","多倫多道明銀行","121.00","2","242.00","全部成交","2@121.00","2026/06/30 09:51:46 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","121.00","242.00","2026/06/30 09:51:47 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","NBIS","NEBIUS","273.00","1","273.00","全部成交","1@273.41","2026/06/30 09:49:00 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","274.00","不允許","美股","USD","","1","273.41","273.41","2026/06/30 16:02:09 (美東)","美股","USD","","","0.99","1","0","","","","","0","0.01","0.01","2.01"
"買入","SPCX","SpaceX","162.21","1","162.21","全部成交","1@162.21","2026/06/30 09:42:41 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","1","162.21","162.21","2026/06/30 09:42:41 (美東)","美股","USD","","","0.99","1","0","","","","","0","","","1.99"
"買入","NBIS","NEBIUS","269.65","2","539.30","全部成交","2@269.65","2026/06/30 09:41:06 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","269.65","539.30","2026/06/30 09:41:06 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
